Time,data
1615402004.0879977,3
1615402004.0976188,3
1615402004.1181276,3
1615402004.138643,3
1615402004.159187,3
1615402004.1797,3
1615402004.201005,3
1615402004.2217374,3
1615402004.242083,3
1615402004.2628198,3
1615402004.2830129,3
1615402004.3087144,3
1615402004.3292227,3
1615402004.349517,3
1615402004.3700001,3
1615402004.3905265,3
1615402004.4117556,3
1615402004.4318218,3
1615402004.4522643,3
1615402004.4680986,3
1615402004.4889581,3
1615402004.5094128,3
1615402004.5304596,3
1615402004.551218,3
1615402004.5762517,3
1615402004.5916288,3
1615402004.6170983,3
1615402004.637483,3
1615402004.6527858,3
1615402004.6784325,3
1615402004.6992848,3
1615402004.7245429,3
1615402004.73995,3
1615402004.7613318,3
1615402004.782078,3
1615402004.802404,3
1615402004.823104,3
1615402004.843239,3
1615402004.8635573,3
1615402004.8891907,3
1615402004.909577,3
1615402004.930057,3
1615402004.9505064,3
1615402004.9710002,3
1615402004.991307,3
1615402005.0117776,3
1615402005.0332549,3
1615402005.0539742,3
1615402005.074593,3
1615402005.0955055,3
1615402005.1152647,3
1615402005.135421,3
1615402005.1560173,3
1615402005.1765163,3
1615402005.1971002,3
1615402005.2381911,3
1615402005.2585936,3
1615402005.2791934,3
1615402005.300506,3
1615402005.321406,3
1615402005.342033,3
1615402005.3628259,3
1615402005.3833714,3
1615402005.4081686,3
1615402005.428858,3
1615402005.4491673,3
1615402005.4695585,3
1615402005.4901762,3
1615402005.510729,3
1615402005.5310862,3
1615402005.551725,3
1615402005.572212,3
1615402005.593417,3
1615402005.6143327,3
1615402005.635348,3
1615402005.6498976,3
1615402005.6756117,3
1615402005.6960938,3
1615402005.716512,3
1615402005.7370281,3
1615402005.7574944,3
1615402005.7830763,3
1615402005.7982502,3
1615402005.8186758,3
1615402005.839246,3
1615402005.8597763,3
1615402005.8804758,3
1615402005.9015582,3
1615402005.9223537,3
1615402005.942517,3
1615402005.9629354,3
1615402005.9884124,3
1615402006.0088365,3
1615402006.0292838,3
1615402006.0497944,3
1615402006.070779,3
1615402006.090743,3
1615402006.1119225,3
1615402006.1326659,3
1615402006.1480584,3
1615402006.1694613,3
1615402006.1894667,3
1615402006.2098818,3
1615402006.2352529,3
1615402006.255929,3
1615402006.2761817,3
1615402006.2966762,3
1615402006.3222115,3
1615402006.3430467,3
1615402006.3580675,3
1615402006.3785727,3
1615402006.3991337,3
1615402006.4252956,3
1615402006.446331,3
1615402006.466803,3
1615402006.4871142,3
1615402006.507424,3
1615402006.533182,3
1615402006.5537028,3
1615402006.5688915,3
1615402006.5894065,3
1615402006.6150897,3
1615402006.6355257,3
1615402006.6560214,3
1615402006.6816566,3
1615402006.7028875,3
1615402006.7235026,3
1615402006.743812,3
1615402006.7587707,3
1615402006.7844765,3
1615402006.8099973,3
1615402006.8253646,3
1615402006.850992,3
1615402006.8713813,3
1615402006.892458,3
1615402006.9124951,3
1615402006.9330397,3
1615402006.9544425,3
1615402006.9691095,3
1615402006.9898305,3
1615402007.0111494,3
1615402007.0309923,3
1615402007.0514517,3
1615402007.072135,3
1615402007.092497,3
1615402007.1128693,3
1615402007.1333482,3
1615402007.154113,3
1615402007.17439,3
1615402007.1949515,3
1615402007.2156954,3
1615402007.2365637,3
1615402007.2568824,3
1615402007.2772057,3
1615402007.297548,3
1615402007.3130136,3
1615402007.333515,3
1615402007.3589206,3
1615402007.3793893,3
1615402007.3999453,3
1615402007.4204102,3
1615402007.4417872,3
1615402007.4622142,3
1615402007.4827557,3
1615402007.508684,3
1615402007.529257,3
1615402007.5492043,3
1615402007.569646,3
1615402007.5901241,3
1615402007.610502,3
1615402007.6309404,3
1615402007.6514242,3
1615402007.671924,3
1615402007.6924205,3
1615402007.7136295,3
1615402007.7345996,3
1615402007.7549584,3
1615402007.774729,3
1615402007.795257,3
1615402007.8158915,3
1615402007.8363752,3
1615402007.8568857,3
1615402007.877322,3
1615402007.9028404,3
1615402007.918113,3
1615402007.9439833,3
1615402007.959296,3
1615402007.9802032,3
1615402008.0010514,3
1615402008.021917,3
1615402008.0423927,3
1615402008.0674045,3
1615402008.0879683,3
1615402008.1085067,3
1615402008.1289654,3
1615402008.149495,3
1615402008.169943,3
1615402008.1905093,3
1615402008.2117128,3
1615402008.232477,3
1615402008.2525668,3
1615402008.2729933,3
1615402008.2934542,3
1615402008.3139572,3
1615402008.3398287,3
1615402008.3603876,3
1615402008.3808775,3
1615402008.401413,3
1615402008.4219391,3
1615402008.4424665,3
1615402008.4630592,3
1615402008.4836316,3
1615402008.5041254,3
1615402008.5253077,3
1615402008.5511997,3
1615402008.5669336,3
1615402008.5870416,3
1615402008.6072502,3
1615402008.6277463,3
1615402008.648147,3
1615402008.6686296,3
1615402008.6889577,3
1615402008.7145126,3
1615402008.7350805,3
1615402008.755557,3
1615402008.7761073,3
1615402008.796581,3
1615402008.817143,3
1615402008.8376977,3
1615402008.8582227,3
1615402008.8786266,3
1615402008.8989995,3
1615402008.9195328,3
1615402008.945268,3
1615402008.960663,3
1615402008.9812603,3
1615402009.002589,3
1615402009.0233707,3
1615402009.0440056,3
1615402009.064657,3
1615402009.0903506,3
1615402009.1103938,3
1615402009.1309483,3
1615402009.1515002,3
1615402009.1719024,3
1615402009.1923254,3
1615402009.2129338,3
1615402009.2332945,3
1615402009.324522,3
1615402009.344827,3
1615402009.3654032,3
1615402009.3859994,3
1615402009.4065208,3
1615402009.4217694,3
1615402009.4423683,3
1615402009.4629664,3
1615402009.4883816,3
1615402009.5038702,3
1615402009.529385,3
1615402009.5446134,3
1615402009.5650637,3
1615402009.5907426,3
1615402009.6113827,3
1615402009.6318486,3
1615402009.6522598,3
1615402009.672923,3
1615402009.6932933,3
1615402009.7136872,3
1615402009.7341044,3
1615402009.754588,3
1615402009.7801523,3
1615402009.8005896,3
1615402009.8210316,3
1615402009.8415422,3
1615402009.8619869,3
1615402009.8826332,3
1615402009.903169,3
1615402009.9289103,3
1615402009.944001,3
1615402009.9646351,3
1615402009.9850762,3
1615402010.0054786,3
1615402010.0259821,3
1615402010.0464342,3
1615402010.0719297,3
1615402010.0924318,3
1615402010.1128545,3
1615402010.1333501,3
1615402010.1538184,3
1615402010.174393,3
1615402010.1948807,3
1615402010.2152767,3
1615402010.2355385,3
