Time,data
1615413766.763125,3
1615413766.7631717,3
1615413766.7631896,3
1615413766.7632077,3
1615413766.7632265,3
1615413766.763242,3
1615413766.763258,3
1615413766.7632747,3
1615413766.7632897,3
1615413766.7633042,3
1615413766.76332,3
1615413766.7633355,3
1615413766.7633505,3
1615413766.7633648,3
1615413766.763381,3
1615413766.7633972,3
1615413766.763414,3
1615413766.7634296,3
1615413766.7634459,3
1615413766.7634625,3
1615413766.763479,3
1615413766.7634952,3
1615413766.7635112,3
1615413766.7635272,3
1615413766.7635434,3
1615413766.7635589,3
1615413766.7635746,3
1615413766.7635903,3
1615413766.7636068,3
1615413766.7636228,3
1615413766.7636387,3
1615413766.763655,3
1615413766.7636707,3
1615413766.763687,3
1615413766.7637029,3
1615413766.7637193,3
1615413766.7637358,3
1615413766.7637515,3
1615413766.763768,3
1615413766.763784,3
1615413766.7638004,3
1615413766.7638166,3
1615413766.763832,3
1615413766.763847,3
1615413766.763863,3
1615413766.763878,3
1615413766.787104,3
1615413766.7920954,3
1615413766.8126698,3
1615413766.8332753,3
1615413766.853636,3
1615413766.8740866,3
1615413766.8949876,3
1615413766.9159594,3
1615413766.9369175,3
1615413766.9572775,3
1615413766.9772973,3
1615413766.9977558,3
1615413767.0182004,3
1615413767.0387552,3
1615413767.0747898,3
1615413767.0798054,3
1615413767.1003945,3
1615413767.1207924,3
1615413767.1415336,3
1615413767.162217,3
1615413767.1830118,3
1615413767.225258,3
1615413767.250123,3
1615413767.2654219,3
1615413767.2859368,3
1615413767.306544,3
1615413767.3270369,3
1615413767.3475273,3
1615413767.3680203,3
1615413767.3890686,3
1615413767.409126,3
1615413767.4351301,3
1615413767.4565332,3
1615413767.4773688,3
1615413767.497827,3
1615413767.5182936,3
1615413767.5387976,3
1615413767.5753293,3
1615413767.5825093,3
1615413767.5981417,3
1615413767.6189942,3
1615413767.6397848,3
1615413767.6631846,3
1615413767.6786788,3
1615413767.69897,3
1615413767.71979,3
1615413767.7470856,3
1615413767.7639358,3
1615413767.784269,3
1615413767.805478,3
1615413767.8226428,3
1615413767.842161,3
1615413767.8624978,3
1615413767.8830485,3
1615413767.903484,3
1615413767.9293406,3
1615413767.9500968,3
1615413767.9707096,3
1615413767.9912598,3
1615413768.0319226,3
1615413768.0425596,3
1615413768.0579216,3
1615413768.0783052,3
