Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type
1615421400.592,0,1615421400,592000008,/vehicle_frd,0,0,32.88574288439471,-117.11820500730869,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.612,0,1615421400,611999989,/vehicle_frd,0,0,32.88574288439471,-117.11820500730869,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.632,0,1615421400,631999969,/vehicle_frd,0,0,32.88574288439471,-117.11820500730869,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.652,0,1615421400,651999950,/vehicle_frd,0,0,32.88574288439471,-117.11820500730869,150.56793665282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.672,0,1615421400,671999931,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.692,0,1615421400,691999912,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.712,0,1615421400,711999893,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.732,0,1615421400,732000113,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.752,0,1615421400,752000093,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.772,0,1615421400,772000074,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.792,0,1615421400,792000055,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.812,0,1615421400,812000036,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.832,0,1615421400,832000017,/vehicle_frd,0,0,32.88574288439382,-117.11820500730892,150.56793675282208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.852,0,1615421400,851999998,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.872,0,1615421400,871999979,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.892,0,1615421400,891999960,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.912,0,1615421400,911999941,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.932,0,1615421400,931999922,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.952,0,1615421400,951999903,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.972,0,1615421400,971999884,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421400.992,0,1615421400,992000103,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.012,0,1615421401,12000084,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.032,0,1615421401,32000065,/vehicle_frd,0,0,32.88574288439294,-117.11820500730914,150.56793685282207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.052,0,1615421401,52000046,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.072,0,1615421401,72000027,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.092,0,1615421401,92000008,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.112,0,1615421401,111999989,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.132,0,1615421401,131999969,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.152,0,1615421401,151999950,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.172,0,1615421401,171999931,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.192,0,1615421401,191999912,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1615421401.212,0,1615421401,211999893,/vehicle_frd,0,0,32.885742884392066,-117.11820500730937,150.5679369528221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
