Time,data
1615412565.7692661,3
1615412565.7790477,3
1615412565.799629,3
1615412565.8200035,3
1615412565.835328,3
1615412565.8610132,3
1615412565.8818727,3
1615412565.903003,3
1615412565.923683,3
1615412565.944219,3
1615412565.964493,3
1615412565.9899342,3
1615412566.0104394,3
1615412566.0308328,3
1615412566.0512576,3
1615412566.0718024,3
1615412566.0921402,3
1615412566.1126697,3
1615412566.1331456,3
1615412566.1536157,3
1615412566.174075,3
1615412566.1948307,3
1615412566.2152932,3
1615412566.2356591,3
1615412566.2560537,3
1615412566.2765863,3
1615412566.2971323,3
1615412566.318001,3
1615412566.338419,3
1615412566.3588512,3
1615412566.3794494,3
1615412566.400302,3
1615412566.4213328,3
1615412566.4418259,3
1615412566.467506,3
1615412566.482434,3
1615412566.502919,3
1615412566.5234869,3
1615412566.5439358,3
1615412566.5645175,3
1615412566.5850968,3
1615412566.6057124,3
1615412566.6263409,3
1615412566.6478112,3
1615412566.673538,3
1615412566.6940963,3
1615412566.714603,3
1615412566.7352152,3
1615412566.755048,3
1615412566.7755651,3
1615412566.7960346,3
1615412566.8165605,3
1615412566.837146,3
1615412566.8627505,3
1615412566.8838751,3
1615412566.9044414,3
1615412566.925565,3
1615412566.946444,3
1615412566.9661198,3
1615412566.981119,3
1615412567.001502,3
1615412567.0272806,3
1615412567.047606,3
1615412567.0681033,3
1615412567.0936878,3
1615412567.1141794,3
1615412567.13478,3
1615412567.1501033,3
1615412567.1706583,3
1615412567.1911256,3
1615412567.2115386,3
1615412567.2321432,3
1615412567.257616,3
1615412567.2781413,3
1615412567.2985313,3
1615412567.3188238,3
1615412567.3444178,3
1615412567.3599143,3
1615412567.380437,3
1615412567.4063375,3
1615412567.421684,3
1615412567.4423234,3
1615412567.4688234,3
1615412567.4836664,3
1615412567.5039027,3
1615412567.5245328,3
1615412567.5502245,3
1615412567.5654807,3
1615412567.5860095,3
1615412567.611764,3
1615412567.6322315,3
1615412567.652674,3
1615412567.6740916,3
1615412567.6946688,3
1615412567.7154038,3
1615412567.735997,3
1615412567.7557929,3
1615412567.7763352,3
1615412567.7968214,3
1615412567.8173032,3
1615412567.8377583,3
1615412567.8582048,3
1615412567.8787985,3
1615412567.904932,3
1615412567.9260051,3
1615412567.9409811,3
1615412567.961548,3
1615412567.981864,3
