Time,x,y,z
1615419870.2671657,-0.4000000059604645,-353.0,-185.0
1615419870.267187,1.600000023841858,-353.0,-185.0
1615419870.2671955,0.4000000059604645,-353.0,-277.0
1615419870.267203,0.0,-292.0,-277.0
1615419870.2672107,0.10000000149011612,-292.0,-277.0
1615419870.2672184,-1.2999999523162842,-294.0,-277.0
1615419870.2672272,-1.0,-294.0,-277.0
1615419870.2672365,0.6000000238418579,-294.0,-277.0
1615419870.2672443,0.30000001192092896,-294.0,-277.0
1615419870.2672522,-0.20000000298023224,-294.0,-277.0
1615419870.267263,1.5,-294.0,-277.0
1615419870.2672749,0.6000000238418579,-294.0,-277.0
1615419870.2672856,-0.699999988079071,-294.0,-277.0
1615419870.2672937,0.6000000238418579,-294.0,-277.0
1615419870.2673013,-0.10000000149011612,-294.0,-277.0
1615419870.2673087,-1.399999976158142,-294.0,-277.0
1615419870.267316,-2.299999952316284,-294.0,-277.0
1615419870.2673235,-3.200000047683716,-235.0,-277.0
1615419870.267331,-2.700000047683716,-235.0,-277.0
1615419870.2673385,-5.099999904632568,-235.0,-277.0
1615419870.2673495,-3.5999999046325684,-235.0,-277.0
1615419870.2673616,-5.0,-235.0,-185.0
1615419870.267372,-4.699999809265137,-235.0,-185.0
1615419870.2673795,-6.0,-177.0,-277.0
1615419870.267387,-6.5,-177.0,-277.0
1615419870.2673945,-7.900000095367432,-177.0,-277.0
1615419870.2674022,-8.399999618530273,-177.0,-277.0
1615419870.2674096,-8.899999618530273,-177.0,-277.0
1615419870.2674172,-9.899999618530273,-177.0,-277.0
1615419870.2674246,-9.699999809265137,-177.0,-277.0
1615419870.267432,-11.800000190734863,-177.0,-277.0
1615419870.2674394,-11.0,-177.0,-277.0
1615419870.267447,-13.199999809265137,-118.0,-277.0
1615419870.2674544,-12.800000190734863,-118.0,-277.0
1615419870.2674618,-13.600000381469727,-118.0,-277.0
1615419870.2674694,-13.899999618530273,-118.0,-277.0
1615419870.2674768,-14.899999618530273,-118.0,-277.0
1615419870.2674842,-15.100000381469727,-118.0,-277.0
1615419870.2674918,-16.600000381469727,-118.0,-185.0
1615419870.2674992,-16.799999237060547,-118.0,-185.0
1615419870.2675066,-17.5,-118.0,-185.0
1615419870.267514,-18.299999237060547,-118.0,-185.0
1615419870.2675214,-18.5,-118.0,-185.0
1615419870.267529,-19.200000762939453,-118.0,-185.0
1615419870.2675366,-18.700000762939453,-118.0,-185.0
1615419870.267544,-20.299999237060547,-118.0,-185.0
1615419870.2675517,-22.200000762939453,0.0,-185.0
1615419870.2675593,-22.100000381469727,0.0,-185.0
1615419870.2675667,-23.299999237060547,0.0,-185.0
1615419870.2675743,-23.0,0.0,-185.0
1615419870.2675817,-24.299999237060547,0.0,-277.0
1615419870.267589,-24.600000381469727,0.0,-277.0
1615419870.2675965,-25.700000762939453,0.0,-277.0
1615419870.267604,-25.5,0.0,-277.0
1615419870.2676115,-26.600000381469727,0.0,-277.0
1615419870.267619,-27.0,0.0,-277.0
1615419870.2676265,-28.399999618530273,0.0,-277.0
1615419870.267634,-27.299999237060547,0.0,-277.0
1615419870.2676415,-29.899999618530273,0.0,-277.0
1615419870.2676492,-29.299999237060547,0.0,-277.0
1615419870.2676566,-30.5,0.0,-185.0
1615419870.2676642,-30.600000381469727,0.0,-185.0
1615419870.267673,-31.899999618530273,0.0,-185.0
1615419870.2676828,-31.5,0.0,-185.0
1615419870.2676902,-32.29999923706055,-59.0,-277.0
1615419870.2676976,-32.79999923706055,-59.0,-277.0
1615419870.2677047,-34.79999923706055,-118.0,-277.0
1615419870.267712,-34.400001525878906,-118.0,-277.0
1615419870.2677193,-35.400001525878906,-177.0,-277.0
1615419870.2677267,-35.70000076293945,-177.0,-277.0
1615419870.267734,-37.29999923706055,-177.0,-277.0
1615419870.2677412,-36.5,-177.0,-277.0
1615419870.2677486,-37.099998474121094,-177.0,-277.0
1615419870.267756,-39.20000076293945,-117.0,-277.0
1615419870.2677634,-39.599998474121094,-117.0,-277.0
1615419870.2677708,-39.599998474121094,-117.0,-277.0
1615419870.2677782,-40.29999923706055,-117.0,-277.0
1615419870.2677855,-41.29999923706055,-117.0,-277.0
1615419870.267793,-41.5,-117.0,-277.0
1615419870.2678003,-43.599998474121094,-117.0,-185.0
1615419870.2678077,-44.099998474121094,-117.0,-185.0
1615419870.2678149,-44.0,-117.0,-185.0
1615419870.2678225,-43.099998474121094,-117.0,-185.0
1615419870.26783,-46.099998474121094,-118.0,-277.0
1615419870.2678373,-45.599998474121094,-118.0,-277.0
