Time,data
1615419870.269569,5
1615419870.269593,5
1615419870.269602,5
1615419870.26961,5
1615419870.2696173,5
1615419870.2696252,5
1615419870.2696326,5
1615419870.2696402,5
1615419870.2696478,5
1615419870.2696552,5
1615419870.2696629,5
1615419870.2696705,5
1615419870.269678,5
1615419870.2696857,5
1615419870.2696934,5
1615419870.2697012,5
1615419870.269709,5
1615419870.2697167,5
1615419870.2697246,5
1615419870.2697322,5
1615419870.2697403,5
1615419870.2697477,5
1615419870.2697554,5
1615419870.269763,5
1615419870.2697704,5
1615419870.269778,5
1615419870.2697856,5
1615419870.269793,5
1615419870.2698007,5
1615419870.2698083,5
1615419870.2698162,5
1615419870.2698238,5
1615419870.2698312,5
1615419870.2698388,5
1615419870.2698464,5
1615419870.269854,5
1615419870.2698617,5
1615419870.2698693,5
1615419870.2698772,5
1615419870.2698848,5
1615419870.2698941,5
1615419870.269905,5
1615419870.2699163,5
1615419870.2699287,5
1615419870.2699413,5
1615419870.269951,5
1615419870.2699592,5
1615419870.2699668,5
1615419870.269976,5
1615419870.269986,5
1615419870.2699935,5
1615419870.2700012,5
1615419870.2700086,5
1615419870.2700162,5
1615419870.2700238,5
1615419870.2700315,5
1615419870.2700393,5
1615419870.2700472,5
1615419870.2700548,5
1615419870.2700622,5
1615419870.2700698,5
1615419870.2700772,5
1615419870.2700849,5
1615419870.2700925,5
1615419870.2700999,5
1615419870.2701075,5
1615419870.270115,5
1615419870.2701225,5
1615419870.2701302,5
1615419870.2701378,5
1615419870.2701454,5
1615419870.2701533,5
1615419870.2701607,5
1615419870.2701685,5
1615419870.2701762,5
1615419870.2701838,5
1615419870.2701914,5
1615419870.270199,5
1615419870.2702067,5
1615419870.2702146,5
1615419870.2702222,5
1615419870.2702298,5
1615419870.2702374,5
1615419870.2702456,5
1615419870.2702565,5
1615419870.270269,5
1615419870.2702792,5
1615419870.270287,5
1615419870.2702947,5
1615419870.2703023,5
1615419870.27031,5
1615419870.2703192,5
1615419870.2703311,5
1615419870.2703428,5
1615419870.2703512,5
1615419870.2703588,5
1615419870.2703664,5
1615419870.270374,5
1615419870.2703831,5
1615419870.2703931,5
1615419870.3636777,5
1615419870.3636897,5
1615419870.3636982,5
1615419870.363706,5
1615419870.3637137,5
1615419870.3834276,5
1615419870.4039543,5
1615419870.424867,5
1615419870.445157,5
1615419870.465438,5
1615419870.4858851,5
1615419870.5062602,5
1615419870.5336394,5
1615419870.551325,5
1615419870.5777617,5
1615419870.5878065,5
1615419870.6083958,5
