Time,data
1615418783.01117,5
1615418783.0112002,5
1615418783.0112119,5
1615418783.011222,5
1615418783.011232,5
1615418783.0112417,5
1615418783.0112517,5
1615418783.0112615,5
1615418783.0112712,5
1615418783.011281,5
1615418783.0112908,5
1615418783.0113008,5
1615418783.0113106,5
1615418783.0113204,5
1615418783.0113304,5
1615418783.0113401,5
1615418783.0113502,5
1615418783.0113602,5
1615418783.0113702,5
1615418783.0113802,5
1615418783.01139,5
1615418783.011402,5
1615418783.0114136,5
1615418783.0114233,5
1615418783.0114331,5
1615418783.011443,5
1615418783.0114524,5
1615418783.0114625,5
1615418783.0114717,5
1615418783.0114815,5
1615418783.0114913,5
1615418783.011501,5
1615418783.0115106,5
1615418783.0115204,5
1615418783.0115302,5
1615418783.01154,5
1615418783.0115497,5
1615418783.0115595,5
1615418783.0115695,5
1615418783.0115793,5
1615418783.0115902,5
1615418783.0116045,5
1615418783.0116153,5
1615418783.0116253,5
1615418783.0296478,5
1615418783.060244,5
1615418783.0653045,5
1615418783.0806303,5
1615418783.1010253,5
1615418783.1215594,5
1615418783.1521647,5
1615418783.1675222,5
1615418783.1879156,5
1615418783.2083046,5
1615418783.2288153,5
1615418783.249136,5
1615418783.2695155,5
1615418783.2900243,5
1615418783.3103578,5
1615418783.3361237,5
1615418783.3512824,5
1615418783.3718688,5
1615418783.3922753,5
1615418783.4126365,5
1615418783.4331117,5
1615418783.4535422,5
1615418783.4792469,5
1615418783.504844,5
1615418783.5455089,5
1615418783.571331,5
1615418783.586582,5
1615418783.6070027,5
1615418783.6273746,5
1615418783.6479626,5
1615418783.6684391,5
1615418783.688995,5
1615418783.7092497,5
1615418783.7296536,5
1615418783.7499619,5
1615418783.7705004,5
1615418783.7962735,5
1615418783.8182278,5
1615418783.8353899,5
1615418783.8580282,5
1615418783.8791707,5
1615418783.9077237,5
1615418783.9234955,5
1615418783.9439926,5
1615418783.9581065,5
1615418783.978913,5
1615418784.0001614,5
1615418784.0216007,5
1615418784.0683274,5
1615418784.101123,5
1615418784.1101062,5
1615418784.1316226,5
1615418784.1517258,5
1615418784.1745791,5
1615418784.1949427,5
1615418784.2155051,5
1615418784.2358868,5
1615418784.256327,5
1615418784.2767587,5
1615418784.2972028,5
1615418784.3176434,5
1615418784.338013,5
1615418784.3584592,5
1615418784.3840714,5
1615418784.3992877,5
1615418784.4197962,5
1615418784.4455764,5
1615418784.4659448,5
1615418784.4864116,5
1615418784.5116353,5
1615418784.5323558,5
1615418784.5530624,5
1615418784.568023,5
1615418784.5937462,5
1615418784.6140556,5
1615418784.6345897,5
1615418784.655024,5
1615418784.6754322,5
1615418784.6960604,5
1615418784.7163417,5
1615418784.7369065,5
1615418784.7572818,5
1615418784.7776814,5
1615418784.7981641,5
1615418784.8235986,5
1615418784.8389385,5
1615418784.859425,5
1615418784.8798976,5
1615418784.9004347,5
1615418784.920753,5
1615418784.9464262,5
1615418784.9617603,5
1615418784.9873655,5
1615418785.0077903,5
1615418785.0333664,5
1615418785.0538456,5
1615418785.0691595,5
1615418785.0896592,5
1615418785.1101518,5
1615418785.1305056,5
1615418785.1509295,5
1615418785.1660821,5
1615418785.1919544,5
1615418785.212201,5
1615418785.2327242,5
1615418785.2582912,5
1615418785.2735047,5
1615418785.293948,5
1615418785.3144064,5
1615418785.3400085,5
1615418785.3553603,5
1615418785.380948,5
1615418785.3962898,5
1615418785.4165094,5
1615418785.44226,5
1615418785.4626737,5
1615418785.4831922,5
1615418785.5035908,5
1615418785.524022,5
1615418785.5546012,5
1615418785.564831,5
1615418785.5905008,5
1615418785.6108577,5
1615418785.6259747,5
1615418785.6517053,5
1615418785.6721418,5
1615418785.6927526,5
1615418785.7131379,5
1615418785.7337215,5
1615418785.754226,5
1615418785.774626,5
1615418785.7951512,5
1615418785.8154721,5
1615418785.835943,5
1615418785.8563142,5
1615418785.8767602,5
1615418785.897185,5
1615418785.9175663,5
1615418785.938212,5
1615418785.958611,5
1615418785.984144,5
1615418786.0097535,5
1615418786.0198503,5
1615418786.055822,5
1615418786.0659208,5
1615418786.0810504,5
1615418786.1068323,5
1615418786.1273205,5
1615418786.1476574,5
1615418786.1680803,5
1615418786.188457,5
1615418786.2089534,5
1615418786.229391,5
1615418786.2497845,5
1615418786.2702615,5
1615418786.2906363,5
1615418786.316336,5
1615418786.3367922,5
1615418786.3571355,5
1615418786.372261,5
1615418786.3980398,5
1615418786.418511,5
1615418786.438994,5
1615418786.4595118,5
1615418786.479947,5
1615418786.505386,5
1615418786.525898,5
1615418786.556605,5
1615418786.5667813,5
1615418786.5871356,5
1615418786.607558,5
1615418786.63316,5
1615418786.65351,5
1615418786.668855,5
1615418786.6892815,5
1615418786.7098417,5
1615418786.7302287,5
1615418786.7506194,5
1615418786.771047,5
1615418786.7914891,5
1615418786.8119981,5
1615418786.8322737,5
1615418786.8528059,5
1615418786.8732486,5
1615418786.8936183,5
1615418786.9138682,5
1615418786.9396977,5
1615418786.960092,5
1615418787.011439,5
1615418787.0423276,5
1615418787.0534234,5
1615418787.0725899,5
1615418787.0955603,5
1615418787.1189609,5
1615418787.1413646,5
1615418787.1570313,5
1615418787.1800559,5
1615418787.1953986,5
1615418787.2169037,5
1615418787.2650003,5
1615418787.2803285,5
1615418787.3062875,5
1615418787.3267767,5
1615418787.3523939,5
1615418787.3625681,5
1615418787.388488,5
1615418787.4194412,5
1615418787.4295015,5
1615418787.455437,5
1615418787.470698,5
1615418787.5014925,5
1615418787.5168684,5
1615418787.5381143,5
1615418787.5585287,5
1615418787.5787294,5
1615418787.5993068,5
1615418787.619676,5
1615418787.6401215,5
1615418787.66058,5
1615418787.6810896,5
1615418787.701528,5
1615418787.7220807,5
1615418787.7424057,5
1615418787.7629035,5
1615418787.788494,5
1615418787.8089194,5
1615418787.8293142,5
1615418787.849801,5
1615418787.870144,5
1615418787.8905895,5
1615418787.9110231,5
1615418787.931371,5
1615418787.9518821,5
1615418787.972408,5
1615418787.9981172,5
1615418788.0185237,5
1615418788.0390525,5
1615418788.059452,5
1615418788.0953827,5
1615418788.1003873,5
1615418788.120884,5
1615418788.1412783,5
1615418788.161834,5
1615418788.1874337,5
1615418788.2079303,5
1615418788.228389,5
1615418788.2488358,5
1615418788.2693079,5
1615418788.2899914,5
1615418788.3101985,5
1615418788.3305779,5
1615418788.3510327,5
1615418788.3714347,5
1615418788.391914,5
1615418788.4124277,5
1615418788.4327903,5
1615418788.4582553,5
1615418788.4787467,5
1615418788.4939675,5
1615418788.5145614,5
1615418788.5402112,5
1615418788.5555398,5
1615418788.5810814,5
1615418788.5962594,5
1615418788.6168451,5
1615418788.6371596,5
1615418788.6627598,5
1615418788.6833274,5
1615418788.6986423,5
1615418788.719159,5
1615418788.7447786,5
1615418788.765321,5
1615418788.7857885,5
1615418788.8115647,5
1615418788.8267908,5
1615418788.8472617,5
1615418788.8677583,5
1615418788.8881066,5
1615418788.9139726,5
1615418788.9344628,5
1615418788.9549315,5
1615418788.9755714,5
1615418788.9963086,5
1615418789.0270708,5
1615418789.0577514,5
1615418789.078183,5
1615418789.0986845,5
1615418789.1192064,5
1615418789.1397138,5
1615418789.160141,5
1615418789.1806493,5
1615418789.2009714,5
1615418789.2266922,5
1615418789.2470658,5
1615418789.2676547,5
1615418789.2879896,5
1615418789.3085365,5
1615418789.3288546,5
1615418789.349388,5
1615418789.3699,5
1615418789.3903058,5
1615418789.4107692,5
1615418789.4311216,5
1615418789.4516551,5
1615418789.4784148,5
1615418789.499111,5
1615418789.5394146,5
1615418789.5596437,5
1615418789.5802279,5
1615418789.5955222,5
1615418789.620931,5
1615418789.636212,5
1615418789.6617136,5
1615418789.6770537,5
1615418789.697621,5
1615418789.7182393,5
1615418789.738747,5
1615418789.7596793,5
1615418789.7849886,5
1615418789.8004925,5
1615418789.8256862,5
1615418789.8462257,5
1615418789.86661,5
1615418789.8870416,5
1615418789.9075716,5
1615418789.9279115,5
1615418789.9484425,5
1615418789.9689963,5
1615418789.9892704,5
1615418790.0149615,5
1615418790.0408654,5
1615418790.0566175,5
1615418790.0766635,5
1615418790.0971603,5
1615418790.117529,5
1615418790.1379867,5
1615418790.1585603,5
1615418790.1840715,5
1615418790.2048383,5
1615418790.2204769,5
1615418790.2485902,5
1615418790.2648091,5
1615418790.286097,5
1615418790.3071284,5
1615418790.3278801,5
1615418790.3484478,5
1615418790.3692846,5
1615418790.3898597,5
1615418790.4126785,5
1615418790.4349024,5
1615418790.4576302,5
1615418790.473806,5
1615418790.491923,5
1615418790.5180445,5
1615418790.5336356,5
1615418790.5592895,5
1615418790.5849533,5
1615418790.5952785,5
1615418790.6154253,5
1615418790.6358597,5
1615418790.66149,5
1615418790.6766794,5
1615418790.6972659,5
1615418790.7176943,5
1615418790.7433188,5
1615418790.75873,5
1615418790.7844992,5
1615418790.8048925,5
1615418790.8253853,5
1615418790.8404624,5
1615418790.8661232,5
1615418790.8865266,5
1615418790.9069786,5
1615418790.9273396,5
1615418790.947688,5
1615418790.9682515,5
1615418790.9888453,5
1615418791.0092123,5
1615418791.034868,5
1615418791.055361,5
1615418791.0863223,5
1615418791.1178365,5
1615418791.1422133,5
1615418791.1575449,5
1615418791.177883,5
1615418791.1983595,5
1615418791.2188795,5
1615418791.2394226,5
1615418791.2652135,5
1615418791.2863011,5
1615418791.3067524,5
1615418791.326773,5
1615418791.347173,5
1615418791.3676472,5
1615418791.3880394,5
1615418791.4084394,5
1615418791.428986,5
1615418791.4493408,5
1615418791.474957,5
1615418791.4953752,5
1615418791.5159152,5
1615418791.5418346,5
1615418791.5572681,5
1615418791.5777855,5
1615418791.5978837,5
1615418791.6184604,5
1615418791.6387208,5
1615418791.6592984,5
1615418791.6799593,5
1615418791.7001257,5
1615418791.7204957,5
1615418791.746,5
1615418791.7613616,5
1615418791.7869084,5
1615418791.8073897,5
1615418791.8278575,5
1615418791.8483462,5
1615418791.8688228,5
1615418791.889095,5
1615418791.9096162,5
1615418791.9299688,5
1615418791.9555767,5
1615418791.9760165,5
1615418791.991275,5
1615418792.0168772,5
1615418792.0373058,5
1615418792.0630732,5
1615418792.0893867,5
1615418792.099556,5
1615418792.119497,5
1615418792.1452997,5
1615418792.1603777,5
1615418792.1859152,5
1615418792.2010968,5
1615418792.2269738,5
1615418792.2473538,5
1615418792.2678854,5
1615418792.288381,5
1615418792.309176,5
1615418792.3294876,5
1615418792.3553603,5
1615418792.3703275,5
1615418792.3906643,5
1615418792.4163575,5
1615418792.4368255,5
1615418792.4572031,5
1615418792.477661,5
1615418792.4981034,5
1615418792.5185394,5
1615418792.5446947,5
1615418792.5605652,5
1615418792.5813892,5
1615418792.6011217,5
1615418792.6213112,5
1615418792.6418004,5
1615418792.6622038,5
1615418792.6825962,5
1615418792.7030034,5
1615418792.7234113,5
1615418792.7489572,5
1615418792.7693734,5
1615418792.7898142,5
1615418792.8103619,5
1615418792.8256936,5
1615418792.8519247,5
1615418792.8670475,5
1615418792.8928442,5
1615418792.9129605,5
1615418792.9334102,5
1615418792.9538558,5
1615418792.974265,5
1615418792.9947171,5
1615418793.0201666,5
1615418793.040596,5
1615418793.056846,5
1615418793.0768762,5
1615418793.0970342,5
1615418793.1176968,5
1615418793.1434777,5
1615418793.164001,5
1615418793.1843517,5
1615418793.204779,5
1615418793.2251427,5
1615418793.2456496,5
1615418793.2660763,5
1615418793.2865586,5
1615418793.306864,5
1615418793.3274388,5
1615418793.3531563,5
1615418793.3738482,5
1615418793.394813,5
1615418793.4153328,5
1615418793.4357355,5
1615418793.4532201,5
1615418793.4848611,5
1615418793.5318398,5
1615418793.5318685,5
1615418793.5567155,5
1615418793.5670784,5
1615418793.5795603,5
1615418793.6014404,5
1615418793.623312,5
1615418793.6445055,5
1615418793.6669776,5
1615418793.6829195,5
1615418793.7084982,5
1615418793.728198,5
1615418793.7641208,5
1615418793.7642162,5
1615418793.7871103,5
1615418793.8091722,5
1615418793.829678,5
1615418793.850288,5
1615418793.8706353,5
1615418793.8909557,5
1615418793.9113154,5
1615418793.9318264,5
1615418793.952343,5
1615418793.9729722,5
1615418794.0039024,5
1615418794.0187771,5
1615418794.0447466,5
1615418794.06028,5
1615418794.0807614,5
1615418794.1010852,5
1615418794.1214392,5
1615418794.1417947,5
1615418794.162247,5
1615418794.1827164,5
1615418794.197987,5
1615418794.21848,5
1615418794.239052,5
1615418794.2647645,5
1615418794.2806664,5
1615418794.3076203,5
1615418794.3269556,5
1615418794.3472924,5
1615418794.367644,5
1615418794.3881166,5
1615418794.408441,5
1615418794.428976,5
1615418794.449383,5
1615418794.469921,5
1615418794.4953234,5
1615418794.5159092,5
1615418794.5417237,5
1615418794.557313,5
1615418794.5781257,5
1615418794.6032403,5
1615418794.618441,5
1615418794.6388006,5
1615418794.6593986,5
1615418794.679819,5
1615418794.7001536,5
1615418794.7206595,5
1615418794.7462156,5
1615418794.76167,5
1615418794.7872097,5
1615418794.8026414,5
1615418794.828241,5
1615418794.843558,5
1615418794.869164,5
1615418794.8895776,5
1615418794.905004,5
1615418794.9305692,5
1615418794.9458985,5
1615418794.9714303,5
1615418794.9866645,5
1615418795.0123148,5
1615418795.03322,5
1615418795.0595465,5
1615418795.075107,5
1615418795.0951996,5
1615418795.1153677,5
1615418795.135714,5
1615418795.1561186,5
1615418795.1765594,5
1615418795.197013,5
1615418795.217407,5
1615418795.2378407,5
1615418795.263396,5
1615418795.2787757,5
1615418795.30458,5
1615418795.3198047,5
1615418795.3463268,5
1615418795.3609917,5
1615418795.3865654,5
1615418795.4070609,5
1615418795.427486,5
1615418795.4478965,5
1615418795.468353,5
1615418795.4887862,5
1615418795.5092027,5
1615418795.5399182,5
1615418795.5500555,5
1615418795.5759904,5
1615418795.5915964,5
1615418795.611591,5
1615418795.632016,5
1615418795.6526115,5
1615418795.6729858,5
1615418795.6933286,5
1615418795.7136757,5
1615418795.7342877,5
1615418795.7596684,5
1615418795.7802606,5
1615418795.8007684,5
1615418795.8211694,5
1615418795.8416324,5
1615418795.8620424,5
1615418795.887624,5
1615418795.9080803,5
1615418795.9233568,5
1615418795.9489655,5
1615418795.969394,5
1615418795.989809,5
1615418796.0155065,5
1615418796.0412402,5
1615418796.0511885,5
1615418796.0718186,5
1615418796.092223,5
1615418796.1125636,5
1615418796.1383731,5
1615418796.153695,5
1615418796.1793256,5
1615418796.19451,5
1615418796.220081,5
1615418796.2353363,5
1615418796.260996,5
1615418796.281375,5
1615418796.2966177,5
1615418796.3173332,5
1615418796.343539,5
1615418796.3641508,5
1615418796.3841815,5
1615418796.4043343,5
1615418796.4250605,5
1615418796.4454021,5
1615418796.4655213,5
1615418796.4911385,5
1615418796.511625,5
1615418796.5320418,5
1615418796.552606,5
1615418796.5730567,5
1615418796.5935454,5
1615418796.6141787,5
1615418796.635381,5
1615418796.6558967,5
1615418796.6766953,5
1615418796.6963184,5
1615418796.716675,5
1615418796.7420392,5
1615418796.762712,5
1615418796.7831776,5
1615418796.8035285,5
1615418796.8240602,5
1615418796.8445675,5
1615418796.8649564,5
1615418796.8856168,5
1615418796.9062805,5
1615418796.9306717,5
1615418796.9502468,5
1615418796.9736397,5
1615418796.9931734,5
1615418797.0160375,5
1615418797.0485911,5
1615418797.071744,5
1615418797.0797937,5
1615418797.1029427,5
1615418797.1243973,5
1615418797.1397123,5
1615418797.1618223,5
1615418797.1831264,5
1615418797.2043633,5
1615418797.2251847,5
1615418797.2401888,5
1615418797.2669134,5
1615418797.2850065,5
1615418797.3106732,5
1615418797.330939,5
1615418797.346209,5
1615418797.3666677,5
1615418797.3921614,5
1615418797.4075358,5
1615418797.4332042,5
1615418797.448632,5
1615418797.4847445,5
1615418797.505213,5
1615418797.5205128,5
1615418797.5515647,5
1615418797.5613127,5
1615418797.5870793,5
1615418797.6087008,5
1615418797.6287472,5
1615418797.6491277,5
1615418797.669599,5
1615418797.6900768,5
1615418797.710492,5
1615418797.7309387,5
1615418797.75146,5
1615418797.7721071,5
1615418797.7923365,5
1615418797.8131082,5
1615418797.8334548,5
1615418797.8537369,5
1615418797.8741937,5
1615418797.8947065,5
1615418797.9151223,5
1615418797.9404552,5
1615418797.960938,5
1615418797.9813902,5
1615418798.0019443,5
1615418798.0276694,5
1615418798.0528514,5
1615418798.0685117,5
1615418798.0940588,5
1615418798.1144264,5
