Time,x,y,z
1615406165.4211485,-0.10000000149011612,58.0,-185.0
1615406165.4211698,0.10000000149011612,58.0,-185.0
1615406165.4308546,0.10000000149011612,58.0,-185.0
1615406165.451352,-0.10000000149011612,116.0,-185.0
1615406165.4717474,0.20000000298023224,116.0,-185.0
1615406165.4921792,0.10000000149011612,58.0,-185.0
1615406165.513097,0.10000000149011612,58.0,-185.0
1615406165.5490792,0.10000000149011612,116.0,-185.0
1615406165.5699778,-0.20000000298023224,116.0,-185.0
1615406165.5952334,0.30000001192092896,58.0,-185.0
1615406165.6155605,0.0,58.0,-185.0
1615406165.6362708,-0.699999988079071,58.0,-185.0
1615406165.6567044,0.30000001192092896,58.0,-185.0
1615406165.6771224,0.20000000298023224,58.0,-185.0
1615406165.6976354,0.20000000298023224,58.0,-185.0
1615406165.7180498,-0.5,0.0,-185.0
1615406165.7387822,0.0,0.0,-185.0
1615406165.7589993,0.0,58.0,-185.0
1615406165.7793672,0.0,58.0,-185.0
1615406165.7997947,0.0,58.0,-185.0
1615406165.820395,0.0,58.0,-185.0
1615406165.8463101,0.0,58.0,-185.0
1615406165.8668585,0.0,58.0,-185.0
1615406165.8873825,0.0,58.0,-185.0
1615406165.907465,-0.30000001192092896,58.0,-185.0
1615406165.9226542,0.0,58.0,-185.0
1615406165.948268,0.10000000149011612,58.0,-185.0
1615406165.9687126,-0.10000000149011612,58.0,-185.0
1615406165.9891791,0.0,58.0,-93.0
1615406166.0097296,0.0,58.0,-93.0
1615406166.030435,0.0,58.0,-93.0
1615406166.0456488,0.20000000298023224,58.0,-93.0
1615406166.0664673,0.30000001192092896,58.0,-185.0
1615406166.0870352,-0.4000000059604645,58.0,-185.0
1615406166.1130085,-0.10000000149011612,58.0,-185.0
1615406166.1280558,0.20000000298023224,58.0,-185.0
1615406166.1487522,0.10000000149011612,58.0,-185.0
1615406166.169298,-0.10000000149011612,58.0,-185.0
1615406166.1898632,0.20000000298023224,58.0,-185.0
1615406166.2158048,-0.30000001192092896,58.0,-185.0
1615406166.23614,-0.10000000149011612,58.0,-185.0
1615406166.2566125,-0.20000000298023224,58.0,-185.0
1615406166.2768497,0.10000000149011612,58.0,-185.0
1615406166.297368,0.10000000149011612,58.0,-185.0
1615406166.317745,0.0,58.0,-185.0
1615406166.3381171,-0.10000000149011612,58.0,-185.0
1615406166.3585553,0.0,58.0,-185.0
1615406166.3791585,0.10000000149011612,58.0,-93.0
1615406166.39524,0.20000000298023224,116.0,-93.0
1615406166.42087,0.0,116.0,-93.0
1615406166.4411657,0.10000000149011612,58.0,-93.0
1615406166.4615474,0.0,58.0,-93.0
1615406166.4820647,0.30000001192092896,116.0,-93.0
1615406166.5075965,-0.30000001192092896,116.0,-93.0
1615406166.5228364,0.10000000149011612,58.0,-93.0
1615406166.548594,0.4000000059604645,58.0,-93.0
1615406166.5690532,0.20000000298023224,58.0,-93.0
1615406166.5895982,0.20000000298023224,58.0,-93.0
1615406166.610083,-0.10000000149011612,58.0,-93.0
1615406166.6307251,0.30000001192092896,0.0,-185.0
1615406166.6519692,0.0,0.0,-185.0
1615406166.6727026,0.20000000298023224,58.0,-185.0
1615406166.6930454,0.0,58.0,-185.0
1615406166.713381,0.0,58.0,-185.0
1615406166.7339945,0.0,58.0,-185.0
1615406166.75443,0.0,0.0,-185.0
1615406166.7748888,0.10000000149011612,0.0,-93.0
1615406166.7953198,-0.20000000298023224,58.0,-93.0
1615406166.8157852,0.0,58.0,-93.0
1615406166.836244,0.699999988079071,58.0,-93.0
1615406166.8567147,0.4000000059604645,58.0,-93.0
1615406166.8771753,0.20000000298023224,58.0,-93.0
1615406166.8976772,0.20000000298023224,58.0,-93.0
1615406166.9232726,0.0,0.0,-93.0
1615406166.9437852,-0.10000000149011612,0.0,-185.0
1615406166.9642081,0.0,58.0,-185.0
1615406166.9846902,0.0,58.0,-93.0
1615406167.0050285,0.10000000149011612,58.0,-93.0
1615406167.0254447,-0.10000000149011612,58.0,-185.0
1615406167.0458992,0.0,58.0,-185.0
1615406167.0663502,-0.10000000149011612,58.0,-185.0
1615406167.0868108,0.0,58.0,-185.0
1615406167.107303,-0.10000000149011612,58.0,-185.0
1615406167.1276484,0.0,58.0,-185.0
1615406167.1480436,0.10000000149011612,58.0,-185.0
1615406167.1685944,0.10000000149011612,58.0,-185.0
1615406167.1890402,-0.30000001192092896,58.0,-185.0
1615406167.2095048,0.20000000298023224,58.0,-185.0
1615406167.2299223,-0.10000000149011612,58.0,-185.0
1615406167.2503948,0.20000000298023224,58.0,-185.0
1615406167.2707794,0.0,58.0,-185.0
1615406167.2912033,0.0,58.0,-185.0
1615406167.3116205,-0.30000001192092896,58.0,-185.0
1615406167.332066,0.0,58.0,-185.0
1615406167.3524914,0.20000000298023224,58.0,-185.0
1615406167.3729165,0.0,58.0,-185.0
1615406167.3987067,0.0,58.0,-185.0
1615406167.4192433,0.0,58.0,-185.0
1615406167.4396436,0.20000000298023224,58.0,-185.0
1615406167.454758,-0.4000000059604645,58.0,-185.0
1615406167.4752584,0.0,58.0,-185.0
1615406167.4957068,0.10000000149011612,58.0,-185.0
1615406167.5161228,-0.20000000298023224,58.0,-185.0
1615406167.5365458,0.5,58.0,-185.0
1615406167.556989,0.0,58.0,-185.0
1615406167.5773869,0.0,58.0,-185.0
1615406167.6032052,0.0,58.0,-185.0
1615406167.6236255,-0.10000000149011612,58.0,-185.0
1615406167.6441116,0.0,58.0,-185.0
1615406167.6646392,-0.5,58.0,-185.0
1615406167.684892,0.0,58.0,-185.0
1615406167.7053323,0.0,58.0,-185.0
1615406167.730822,-0.10000000149011612,58.0,-185.0
1615406167.7513483,0.10000000149011612,58.0,-185.0
1615406167.7718031,-0.10000000149011612,58.0,-185.0
1615406167.7921946,-0.10000000149011612,58.0,-185.0
1615406167.812697,0.30000001192092896,58.0,-185.0
1615406167.8332036,-0.20000000298023224,58.0,-185.0
1615406167.8535051,0.10000000149011612,58.0,-185.0
1615406167.8791735,0.0,0.0,-185.0
1615406167.8996522,0.20000000298023224,0.0,-93.0
1615406167.914876,-0.10000000149011612,0.0,-93.0
1615406167.9353228,0.0,0.0,-185.0
1615406167.9609895,0.20000000298023224,0.0,-185.0
1615406167.9762764,0.30000001192092896,0.0,-185.0
1615406168.0020785,0.0,116.0,-185.0
1615406168.0225005,0.0,116.0,-185.0
1615406168.0428705,0.0,0.0,-185.0
1615406168.0632155,0.20000000298023224,0.0,-185.0
1615406168.0836663,0.0,58.0,-185.0
1615406168.1093707,-0.30000001192092896,58.0,-185.0
