Time,x,y,z
1659031892.862397,0.0,0.0,0.0
1659031892.8828392,0.0,0.0,0.0
1659031892.9026659,0.0,0.0,0.0
1659031892.9230387,0.0,0.0,0.0
1659031892.948252,0.0,0.0,0.0
1659031892.9686632,0.0,0.0,0.0
1659031892.9891481,0.0,0.0,0.0
1659031893.0097797,0.0,0.0,0.0
1659031893.0301025,0.0,0.0,0.0
1659031893.0504322,0.0,0.0,0.0
1659031893.0708966,0.0,0.0,0.0
1659031893.091546,0.0,0.0,0.0
1659031893.112037,0.0,0.0,0.0
1659031893.1327672,0.0,0.0,0.0
1659031893.1531584,0.0,0.0,0.0
1659031893.173764,0.0,0.0,0.0
1659031893.1942806,0.0,0.0,0.0
1659031893.2147357,0.0,0.0,0.0
1659031893.2414193,0.0,0.0,0.0
1659031893.256024,0.0,0.0,0.0
1659031893.2763264,0.0,0.0,0.0
1659031893.296719,0.0,0.0,0.0
1659031893.3186536,0.0,0.0,0.0
1659031893.3428338,0.0,0.0,0.0
1659031893.3634393,0.0,0.0,0.0
1659031893.3840103,0.0,0.0,0.0
1659031893.4044545,0.0,0.0,0.0
1659031893.4251304,0.0,0.0,0.0
1659031893.4408884,0.0,0.0,0.0
1659031893.4612722,0.0,0.0,0.0
1659031893.4817462,0.0,0.0,0.0
1659031893.5024595,0.0,0.0,0.0
1659031893.5228126,0.0,0.0,0.0
1659031893.5475986,0.0,0.0,0.0
1659031893.56815,0.0,0.0,0.0
1659031893.5886948,0.0,0.0,0.0
1659031893.6089246,0.0,0.0,0.0
1659031893.6294923,0.0,0.0,0.0
1659031893.6551867,0.0,0.0,0.0
1659031893.6758769,0.0,0.0,0.0
1659031893.6961167,0.0,0.0,0.0
1659031893.7164392,0.0,0.0,0.0
1659031893.7379832,0.0,0.0,0.0
1659031893.757898,0.0,0.0,0.0
1659031893.7782385,0.0,0.0,0.0
1659031893.7989028,0.0,0.0,0.0
1659031893.8248403,0.0,0.0,0.0
1659031893.8454733,0.0,0.0,0.0
1659031893.8604686,0.0,0.0,0.0
1659031893.8811815,0.0,0.0,0.0
1659031893.90719,0.0,0.0,0.0
1659031893.9222207,0.0,0.0,0.0
1659031893.9474359,0.0,0.0,0.0
1659031893.96792,0.0,0.0,0.0
1659031893.9885683,0.0,0.0,0.0
1659031894.0091224,0.0,0.0,0.0
1659031894.02946,0.0,0.0,0.0
1659031894.0501604,0.0,0.0,0.0
1659031894.0706127,0.0,0.0,0.0
1659031894.0911202,0.0,0.0,0.0
1659031894.111661,0.0,0.0,0.0
1659031894.1321616,0.0,0.0,0.0
1659031894.1529646,0.0,0.0,0.0
1659031894.1734595,0.0,0.0,0.0
1659031894.1936274,0.0,0.0,0.0
1659031894.2141726,0.0,0.0,0.0
1659031894.2347147,0.0,0.0,0.0
1659031894.2609644,0.0,0.0,0.0
1659031894.275927,0.0,0.0,0.0
1659031894.301745,0.0,0.0,0.0
1659031894.3223262,0.0,0.0,0.0
1659031894.343048,0.0,0.0,0.0
1659031894.3635328,0.0,0.0,0.0
1659031894.3841364,0.0,0.0,0.0
1659031894.404715,0.0,0.0,0.0
1659031894.425362,0.0,0.0,0.0
1659031894.4457176,0.0,0.0,0.0
1659031894.466268,0.0,0.0,0.0
1659031894.481075,0.0,0.0,0.0
1659031894.507303,0.0,0.0,0.0
1659031894.5276248,0.0,0.0,0.0
1659031894.548157,0.0,0.0,0.0
1659031894.568147,0.0,0.0,0.0
1659031894.5888295,0.0,0.0,0.0
1659031894.609053,0.0,0.0,0.0
1659031894.6346653,0.0,0.0,0.0
1659031894.6552079,0.0,0.0,0.0
1659031894.6757433,0.0,0.0,0.0
1659031894.6961367,0.0,0.0,0.0
1659031894.7165,0.0,0.0,0.0
1659031894.7386694,0.0,0.0,0.0
1659031894.7626417,0.0,0.0,0.0
1659031894.778275,0.0,0.0,0.0
1659031894.8032277,0.0,0.0,0.0
1659031894.8237734,0.0,0.0,0.0
1659031894.844291,0.0,0.0,0.0
1659031894.864738,0.0,0.0,0.0
1659031894.8855472,0.0,0.0,0.0
1659031894.9058888,0.0,0.0,0.0
1659031894.926426,-0.10000000149011612,0.0,0.0
1659031894.9468083,0.0,0.0,0.0
1659031894.9672978,0.0,0.0,0.0
1659031894.9878871,0.0,0.0,0.0
1659031895.0083416,0.30000001192092896,0.0,0.0
1659031895.02865,0.0,0.0,0.0
1659031895.0490844,0.0,0.0,0.0
1659031895.0694897,-0.10000000149011612,0.0,0.0
1659031895.0900507,-0.10000000149011612,0.0,0.0
1659031895.1106381,0.0,0.0,0.0
1659031895.1257226,0.0,0.0,0.0
1659031895.151537,0.4000000059604645,0.0,0.0
1659031895.1668205,0.0,0.0,0.0
1659031895.18742,-0.10000000149011612,0.0,0.0
1659031895.207739,-0.10000000149011612,0.0,0.0
1659031895.2282162,-0.10000000149011612,0.0,0.0
1659031895.2538807,-0.10000000149011612,0.0,0.0
1659031895.2744808,0.20000000298023224,0.0,0.0
1659031895.2948759,0.0,0.0,0.0
1659031895.3152688,-0.30000001192092896,0.0,0.0
1659031895.3356602,0.0,0.0,0.0
1659031895.3562427,-0.20000000298023224,0.0,0.0
1659031895.3766496,0.0,0.0,0.0
1659031895.3982565,0.0,0.0,0.0
1659031895.4182482,-0.20000000298023224,0.0,0.0
1659031895.4387994,0.0,0.0,0.0
1659031895.4593384,-0.10000000149011612,0.0,0.0
1659031895.479907,0.0,0.0,0.0
1659031895.5002692,0.0,0.0,0.0
1659031895.5207949,-0.30000001192092896,0.0,0.0
1659031895.5462809,-0.20000000298023224,0.0,0.0
1659031895.5616403,0.0,0.0,0.0
1659031895.5821533,0.0,0.0,0.0
1659031895.6077867,-0.10000000149011612,0.0,0.0
1659031895.6277325,0.0,0.0,0.0
1659031895.6432347,0.0,0.0,0.0
1659031895.6687372,0.0,0.0,0.0
1659031895.6892374,0.0,0.0,0.0
1659031895.7097383,0.0,0.0,0.0
1659031895.7300816,0.5,0.0,0.0
1659031895.7506418,0.20000000298023224,0.0,0.0
1659031895.771258,0.0,0.0,0.0
1659031895.7918282,0.0,0.0,0.0
1659031895.8122566,-0.20000000298023224,0.0,0.0
1659031895.8439376,-0.20000000298023224,0.0,0.0
1659031895.8592317,0.0,0.0,0.0
1659031895.873924,0.0,0.0,0.0
1659031895.8945413,-0.10000000149011612,0.0,0.0
1659031895.9206958,0.0,0.0,0.0
1659031895.9414232,-0.10000000149011612,0.0,0.0
1659031895.9618125,-0.20000000298023224,0.0,0.0
1659031895.982312,-0.30000001192092896,0.0,0.0
1659031896.002678,-0.10000000149011612,0.0,0.0
1659031896.0232682,-0.10000000149011612,0.0,0.0
1659031896.0435767,0.0,0.0,0.0
1659031896.0639896,0.0,0.0,0.0
1659031896.0845313,-0.20000000298023224,0.0,0.0
1659031896.1043873,-0.10000000149011612,0.0,0.0
1659031896.1253483,0.0,0.0,0.0
1659031896.1505349,0.10000000149011612,0.0,0.0
1659031896.166257,0.0,0.0,0.0
1659031896.1868308,0.0,0.0,0.0
1659031896.2073739,0.0,0.0,0.0
1659031896.227779,0.0,0.0,0.0
1659031896.2477891,0.0,0.0,0.0
1659031896.273422,-0.10000000149011612,0.0,0.0
1659031896.2938807,0.0,0.0,0.0
1659031896.3142095,0.0,0.0,0.0
1659031896.3348472,0.10000000149011612,0.0,0.0
1659031896.3610344,0.10000000149011612,0.0,0.0
1659031896.3817618,0.10000000149011612,0.0,0.0
1659031896.402808,0.0,0.0,0.0
1659031896.4230735,-0.20000000298023224,0.0,0.0
1659031896.4428215,0.0,0.0,0.0
1659031896.4634068,-0.10000000149011612,0.0,0.0
1659031896.4836726,-0.20000000298023224,0.0,0.0
1659031896.5092933,0.0,0.0,0.0
1659031896.5298152,0.0,0.0,0.0
1659031896.5502853,0.0,0.0,0.0
1659031896.5656095,-0.30000001192092896,0.0,0.0
1659031896.5866597,-0.20000000298023224,0.0,0.0
1659031896.6118467,0.0,0.0,0.0
1659031896.6322725,0.0,0.0,0.0
1659031896.6529543,-0.10000000149011612,0.0,0.0
1659031896.6734376,0.0,0.0,0.0
1659031896.6937754,0.0,0.0,0.0
1659031896.7250595,0.20000000298023224,0.0,0.0
1659031896.7345293,0.0,0.0,0.0
1659031896.7603724,0.10000000149011612,0.0,0.0
1659031896.7755556,-0.20000000298023224,0.0,0.0
1659031896.7960055,-0.10000000149011612,0.0,0.0
1659031896.8164778,0.0,0.0,0.0
1659031896.837371,-0.20000000298023224,0.0,0.0
1659031896.857519,0.30000001192092896,0.0,0.0
1659031896.8789177,-0.20000000298023224,0.0,0.0
1659031896.903934,0.0,0.0,0.0
1659031896.9244182,0.0,0.0,0.0
1659031896.9448252,0.0,0.0,0.0
1659031896.9654596,0.0,0.0,0.0
1659031896.9857624,0.0,0.0,0.0
1659031897.000879,0.10000000149011612,0.0,0.0
1659031897.0268433,-0.30000001192092896,0.0,0.0
1659031897.0470214,0.10000000149011612,0.0,0.0
1659031897.0675468,0.0,-353.0,-277.0
1659031897.0881953,0.10000000149011612,-353.0,-277.0
1659031897.1085148,-0.30000001192092896,-353.0,-185.0
1659031897.134166,0.10000000149011612,-353.0,-185.0
1659031897.1551392,0.0,-353.0,-277.0
1659031897.1755674,0.20000000298023224,-353.0,-277.0
1659031897.1959095,0.20000000298023224,-353.0,-185.0
1659031897.2219515,0.0,-353.0,-185.0
1659031897.2368598,0.0,-353.0,-277.0
1659031897.2629006,0.0,-353.0,-277.0
1659031897.2834406,-0.20000000298023224,-353.0,-185.0
1659031897.3040147,-0.20000000298023224,-353.0,-185.0
1659031897.3245473,0.0,-353.0,-277.0
1659031897.3449914,-0.10000000149011612,-353.0,-277.0
1659031897.3650806,0.20000000298023224,-353.0,-185.0
1659031897.3857162,-0.20000000298023224,-353.0,-185.0
1659031897.4059782,0.0,-353.0,-93.0
1659031897.426371,0.0,-353.0,-277.0
1659031897.467513,0.0,-353.0,-185.0
1659031897.4929311,0.0,-353.0,-185.0
1659031897.5132778,0.10000000149011612,-353.0,-185.0
1659031897.5336878,-0.20000000298023224,-353.0,-185.0
1659031897.5544672,-0.30000001192092896,-353.0,-185.0
1659031897.5747132,0.0,-353.0,-185.0
1659031897.595245,0.0,-353.0,-185.0
1659031897.615597,0.0,-353.0,-185.0
1659031897.6361084,-0.10000000149011612,-353.0,-185.0
1659031897.6583915,0.0,-353.0,-185.0
1659031897.6785693,-0.10000000149011612,-353.0,-277.0
1659031897.699043,-0.20000000298023224,-353.0,-277.0
1659031897.7193,-0.10000000149011612,-353.0,-277.0
1659031897.7451375,0.0,-353.0,-277.0
1659031897.760438,0.0,-353.0,-185.0
1659031897.7808115,-0.20000000298023224,-353.0,-185.0
1659031897.8013957,0.0,-353.0,-277.0
1659031897.8219318,0.20000000298023224,-353.0,-277.0
1659031897.8488884,-0.10000000149011612,-353.0,-277.0
