Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1615407366.002,0,1615407366,2000093,,0.0013547641994003825,-0.002026617163464311,-0.749112970668371,0.6624377816921715,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00025635211880098717,-0.00019191387791744563,-0.0003969741095584978,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.022,0,1615407366,22000074,,0.0013567405360289755,-0.0020325285826340517,-0.7491129632457001,0.6624377679298827,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7934205886259485e-05,-0.00022098344779152576,-0.0003729151411696935,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.042,0,1615407366,42000055,,0.001359258323309281,-0.0020296184819023995,-0.7491128882916759,0.6624378564521594,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1781904625636784e-05,-2.5697273627250586e-06,-0.0004797604030860703,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.062,0,1615407366,62000036,,0.0013785858351174384,-0.0020390143002202705,-0.7491126427448958,0.6624380653325538,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022230919676559152,0.00010808696536094646,-0.0002111016905942965,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.082,0,1615407366,82000017,,0.0013764223075121288,-0.0020402451955072146,-0.7491127252707382,0.6624379727179152,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013840324508913027,-1.5588616692613954e-06,-0.00015982432008376275,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.102,0,1615407366,101999998,,0.001381010617359668,-0.0020396763498699965,-0.7491126135275068,0.6624380912840465,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017446087179882587,0.0001426532923425882,0.00022507172129445074,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.122,0,1615407366,121999979,,0.001381458383602043,-0.0020344254642017732,-0.7491124373006345,0.662438305781956,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.386948013908849e-06,0.00023489791693690257,-0.0001212619460067797,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.142,0,1615407366,141999960,,0.0013790246183624756,-0.0020400670665140074,-0.7491125701634416,0.6624381432560997,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011579575779286672,-5.3464746491066446e-05,-1.2155248507190298e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.162,0,1615407366,161999941,,0.0013774027370913808,-0.002032476088667355,-0.7491125189011,0.6624382279339697,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00014521972987610393,8.357832039304089e-05,0.0002779092399259484,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.182,0,1615407366,181999922,,0.0013684871822893243,-0.002035506663956376,-0.7491124535959474,0.662438310956509,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018021790376618565,-0.00024387616828574755,0.00027348762255315285,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.202,0,1615407366,201999903,,0.0013665944199232605,-0.002032327702973559,-0.7491123037385778,0.6624384940892851,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023703450907527928,-0.00015385972038144897,2.419684312115572e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.222,0,1615407366,221999884,,0.0013579504190188198,-0.0020309477560377298,-0.7491123811156378,0.6624384285962969,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003993026494832196,-0.00029842245255604224,-0.00010674935410401142,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.242,0,1615407366,242000103,,0.0013583993092380505,-0.0020256986224744234,-0.7491123952508134,0.6624384277636653,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003818915537115675,-3.0776831242843944e-05,-0.0001039096582610372,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1615407366.262,0,1615407366,262000084,,0.0013585771411270637,-0.0020248605274173093,-0.7491123189995539,0.662438516189319,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00030309603436346524,1.983443057871488e-05,-6.581021979643899e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
