Time,x,y,z
1615421846.8190591,0.6000000238418579,0.0,-93.0
1615421846.8191748,-0.20000000298023224,174.0,-93.0
1615421846.819216,0.0,174.0,-93.0
1615421846.8192475,-0.5,174.0,-93.0
1615421846.8192763,-1.399999976158142,174.0,-93.0
1615421846.8193047,-0.30000001192092896,291.0,-185.0
1615421846.8193333,-0.800000011920929,291.0,-185.0
1615421846.819362,-0.10000000149011612,405.0,-185.0
1615421846.8193915,-1.899999976158142,405.0,-185.0
1615421846.81942,-2.0,463.0,-185.0
1615421846.8194487,-3.299999952316284,463.0,-185.0
1615421846.8194773,-3.200000047683716,699.0,-93.0
1615421846.8195107,-4.300000190734863,699.0,-93.0
1615421846.8195477,-3.5999999046325684,641.0,0.0
1615421846.8195767,-4.599999904632568,641.0,0.0
1615421846.8196046,-5.199999809265137,757.0,0.0
1615421846.8196325,-6.099999904632568,757.0,0.0
1615421846.8196607,-6.300000190734863,757.0,0.0
1615421846.8196886,-7.0,757.0,0.0
1615421846.8197162,-8.699999809265137,810.0,-93.0
1615421846.819744,-9.199999809265137,810.0,-93.0
1615421846.819772,-8.899999618530273,868.0,-93.0
1615421846.8198,-11.300000190734863,810.0,-93.0
1615421846.8198278,-11.0,810.0,-93.0
1615421846.8198562,-11.800000190734863,868.0,-93.0
1615421846.819884,-11.600000381469727,868.0,-93.0
1615421846.8199124,-13.5,868.0,-185.0
1615421846.8199408,-13.899999618530273,868.0,-185.0
1615421846.8199692,-13.300000190734863,868.0,-185.0
1615421846.8199973,-15.300000190734863,868.0,-185.0
1615421846.8200254,-14.600000381469727,810.0,-185.0
1615421846.8200538,-15.300000190734863,810.0,-185.0
1615421846.8200824,-15.0,816.0,-93.0
1615421846.8201108,-17.200000762939453,816.0,-93.0
1615421846.8201404,-16.700000762939453,699.0,-93.0
1615421846.820169,-18.5,699.0,-93.0
1615421846.8201973,-18.200000762939453,699.0,-93.0
1615421846.820226,-19.399999618530273,699.0,-93.0
1615421846.8202546,-19.600000381469727,641.0,-93.0
1615421846.8202827,-21.200000762939453,641.0,-93.0
1615421846.820311,-20.899999618530273,636.0,-93.0
1615421846.8203394,-22.399999618530273,636.0,-93.0
1615421846.8203678,-22.100000381469727,636.0,-93.0
1615421846.820396,-23.899999618530273,757.0,-93.0
1615421846.8204243,-25.399999618530273,757.0,-93.0
1615421846.8204527,-24.799999237060547,641.0,-93.0
1615421846.8204813,-25.700000762939453,641.0,-93.0
1615421846.8205106,-25.600000381469727,699.0,-93.0
1615421846.8205411,-26.899999618530273,699.0,-93.0
1615421846.8205736,-27.399999618530273,641.0,-93.0
